student_code,student_name,student_email,english_level,faculty,GPA
2110162,Đoàn Minh Hiếu,hieu.doanminh@hcmut.edu.vn,4,MT,3.6
2112945,Lê Nguyên Chương,chuong.lenguyen@hcmut.edu.vn,4,MT,3.0
2115129,Vũ Xuân Mai Trung,trung.vuxuanmai@hcmut.edu.vn,4,MT,3.3
2110001,Chị Hải Phạm,a@hcmut.edu.vn,1,MT,3.69
2110002,Yến Lê,a@hcmut.edu.vn,1,MT,2.82
2110003,Nhật Quang Dương,a@hcmut.edu.vn,3,MT,2.86
2110004,Tùng Lê,a@hcmut.edu.vn,4,MT,3.72
2110005,Chị Dương Phạm,a@hcmut.edu.vn,4,MT,1.3
2110006,Bà Lâm Hoàng,a@hcmut.edu.vn,0,MT,3.13
2110007,Quý cô Yến Nguyễn,a@hcmut.edu.vn,4,MT,0.46
2110008,Nhiên Tấn Bùi,a@hcmut.edu.vn,1,MT,1.12
2110009,Cô Thành Đặng,a@hcmut.edu.vn,2,MT,0.81
2110010,Khoa Phú Lê,a@hcmut.edu.vn,3,MT,0.76
2110011,Vũ Hoàng,a@hcmut.edu.vn,2,MT,3.06
2110012,Nhật Mai,a@hcmut.edu.vn,4,MT,0.63
2110013,Quang Mai Lê,a@hcmut.edu.vn,4,MT,2.33
2110014,Hoàng Bảo Đặng,a@hcmut.edu.vn,0,MT,0.0
2110015,Quang Hải Phạm,a@hcmut.edu.vn,4,MT,1.32
2110016,Nhiên Thế Lê,a@hcmut.edu.vn,2,MT,2.42
2110017,Quý ông Tú Vũ,a@hcmut.edu.vn,3,MT,2.0
2110018,Quý ông Thành Trần,a@hcmut.edu.vn,1,MT,1.02
2110019,Xuân Mai,a@hcmut.edu.vn,2,MT,2.25
2110020,Lan Bùi,a@hcmut.edu.vn,3,MT,3.06
2110021,Ông Tú Lê,a@hcmut.edu.vn,2,MT,0.75
2110022,Nhật Đức Mai,a@hcmut.edu.vn,1,MT,2.95
2110023,Phương Nguyễn,a@hcmut.edu.vn,2,MT,2.97
2110024,Dương Dương,a@hcmut.edu.vn,2,MT,2.77
2110025,Nhật Bùi,a@hcmut.edu.vn,2,MT,0.52
2110026,Nam Mai Bùi,a@hcmut.edu.vn,4,MT,1.47
2110027,Chị Khoa Bùi,a@hcmut.edu.vn,3,MT,2.14
2110028,Hạnh Hải Đặng,a@hcmut.edu.vn,3,MT,0.52
2110029,An Hoàng Bùi,a@hcmut.edu.vn,2,MT,3.91
2110030,Quý cô Kim Mai,a@hcmut.edu.vn,0,MT,1.64
2110031,Anh Tùng Lê,a@hcmut.edu.vn,0,MT,2.53
2110032,Tùng Trí Lê,a@hcmut.edu.vn,4,MT,0.46
2110033,Anh Huy Hoàng,a@hcmut.edu.vn,4,MT,2.94
2110034,Anh Hoàng,a@hcmut.edu.vn,4,MT,1.35
2110035,Anh Hữu Vũ,a@hcmut.edu.vn,3,MT,2.56
2110036,Thành Bùi,a@hcmut.edu.vn,4,MT,1.05
2110037,Thành Mai Bảo Mai,a@hcmut.edu.vn,2,MT,0.34
2110038,Cô Hà Phạm,a@hcmut.edu.vn,0,MT,0.76
2110039,Thảo Hoàng,a@hcmut.edu.vn,2,MT,1.47
2110040,Khoa Hoàng,a@hcmut.edu.vn,1,MT,0.05
2110041,Chị Lan Lê,a@hcmut.edu.vn,1,MT,1.64
2110042,Ông Bảo Dương,a@hcmut.edu.vn,2,MT,2.98
2110043,Kim Văn Vũ,a@hcmut.edu.vn,1,MT,2.18
2110044,Trung Đặng,a@hcmut.edu.vn,4,MT,1.44
2110045,Quý cô Nhật Nguyễn,a@hcmut.edu.vn,0,MT,0.85
2110046,Quang Đức Vũ,a@hcmut.edu.vn,3,MT,3.32
2110047,Anh Tùng Hoàng,a@hcmut.edu.vn,3,MT,3.07
2110048,Khoa Vũ,a@hcmut.edu.vn,1,MT,3.65
2110049,Cô An Đặng,a@hcmut.edu.vn,4,MT,0.36
2110050,Bảo Hoàng Bùi,a@hcmut.edu.vn,1,MT,0.12
2110051,An Đặng,a@hcmut.edu.vn,0,MT,3.86
2110052,Vũ Hoàng Dương,a@hcmut.edu.vn,1,MT,0.73
2110053,Tùng Quang Dương,a@hcmut.edu.vn,4,MT,1.16
2110054,Quý cô Ngọc Hoàng,a@hcmut.edu.vn,4,MT,2.32
2110055,Hà Hoàng,a@hcmut.edu.vn,1,MT,2.11
2110056,Nhật Văn Hoàng,a@hcmut.edu.vn,3,MT,2.98
2110057,Phương Dương,a@hcmut.edu.vn,2,MT,1.25
2110058,Bà Nhật Nguyễn,a@hcmut.edu.vn,1,MT,2.27
2110059,Duyên Đặng,a@hcmut.edu.vn,1,MT,2.69
2110060,Hải Thị Lê,a@hcmut.edu.vn,3,MT,3.03
2110061,Nhật Thế Lê,a@hcmut.edu.vn,0,MT,3.2
2110062,Châu Nguyễn,a@hcmut.edu.vn,0,MT,2.41
2110063,Quý cô Vi Mai,a@hcmut.edu.vn,2,MT,2.46
2110064,Thành Xuân Phạm,a@hcmut.edu.vn,3,MT,2.45
2110065,Hải Vũ,a@hcmut.edu.vn,3,MT,3.35
2110066,Phúc Vũ,a@hcmut.edu.vn,4,MT,0.56
2110067,Thành Dương,a@hcmut.edu.vn,4,MT,3.46
2110068,Lâm Nguyễn,a@hcmut.edu.vn,1,MT,3.87
2110069,Lan Mai,a@hcmut.edu.vn,3,MT,2.38
