student_code,student_name,student_email,english_level,faculty,GPA
2010001,Bác Tú Bùi,mail.2010001@hcmut.edu.vn,4,MT,2.1
2010002,Hà Đặng,mail.2010001@hcmut.edu.vn,4,MT,2.2
2010003,Huy Hữu Mai,mail.2010001@hcmut.edu.vn,4,MT,2.3
2010004,Nhiên Hoàng Phạm,mail.2010001@hcmut.edu.vn,4,MT,2.4
2010005,Phúc Bùi,mail.2010001@hcmut.edu.vn,4,MT,2.5
2010006,Quý cô Bảo Dương,mail.2010001@hcmut.edu.vn,4,MT,2.6
2010007,Duyên Dương,mail.2010001@hcmut.edu.vn,4,MT,2.7
2010008,Cô Kim Trần,mail.2010001@hcmut.edu.vn,4,MT,2.8
2010009,Minh Quang Nguyễn,mail.2010001@hcmut.edu.vn,4,MT,2.9
2010010,Ông Hoàng Hoàng,mail.2010001@hcmut.edu.vn,4,MT,3.0
2010011,Bà Hải Mai,mail.2010001@hcmut.edu.vn,4,MT,3.1
2010012,Cô Hà Bùi,mail.2010001@hcmut.edu.vn,4,MT,3.2
2010013,Bà Lâm Lê,mail.2010001@hcmut.edu.vn,4,MT,3.3
2010014,Anh Minh Hoàng,mail.2010001@hcmut.edu.vn,4,MT,3.4
2010015,Khoa Dương,mail.2010001@hcmut.edu.vn,4,MT,3.5
2010016,Anh Nhiên Đặng,mail.2010001@hcmut.edu.vn,4,MT,3.6
2010017,Ông Hưng Phạm,mail.2010001@hcmut.edu.vn,4,MT,3.7
2010018,Quý cô Kim Vũ,mail.2010001@hcmut.edu.vn,4,MT,3.8
2010019,Khoa Đặng,mail.2010001@hcmut.edu.vn,4,MT,3.9
2010020,Mai Bùi,mail.2010001@hcmut.edu.vn,4,MT,4.0
2110001,Minh Hoàng,mail.2110001@hcmut.edu.vn,4,MT,2.1
2110002,Cô Nhật Mai,mail.2110001@hcmut.edu.vn,4,MT,2.2
2110003,Nhật Phú Lê,mail.2110001@hcmut.edu.vn,4,MT,2.3
2110004,Quý cô Vân Lê,mail.2110001@hcmut.edu.vn,4,MT,2.4
2110005,Chị Ánh Dương,mail.2110001@hcmut.edu.vn,4,MT,2.5
2110006,Chị Thảo Lê,mail.2110001@hcmut.edu.vn,4,MT,2.6
2110007,Hà Hoàng,mail.2110001@hcmut.edu.vn,4,MT,2.7
2110008,Anh Anh Nguyễn,mail.2110001@hcmut.edu.vn,4,MT,2.8
2110009,Bảo Phạm,mail.2110001@hcmut.edu.vn,4,MT,2.9
2110010,Khoa Đặng,mail.2110001@hcmut.edu.vn,4,MT,3.0
2110011,Bà Thảo Đặng,mail.2110001@hcmut.edu.vn,4,MT,3.1
2110012,Phúc Thế Vũ,mail.2110001@hcmut.edu.vn,4,MT,3.2
2110013,Ánh Nguyễn,mail.2110001@hcmut.edu.vn,4,MT,3.3
2110014,Châu Bảo Lê,mail.2110001@hcmut.edu.vn,4,MT,3.4
2110015,Ông Anh Lê,mail.2110001@hcmut.edu.vn,4,MT,3.5
2110016,Vân Phạm,mail.2110001@hcmut.edu.vn,4,MT,3.6
2110017,Bảo Lê,mail.2110001@hcmut.edu.vn,4,MT,3.7
2110018,Minh Nguyễn,mail.2110001@hcmut.edu.vn,4,MT,3.8
2110019,Vũ Hoàng,mail.2110001@hcmut.edu.vn,4,MT,3.9
2110020,Cô Hồng Dương,mail.2110001@hcmut.edu.vn,4,MT,4.0
2210001,Cô Mai Đặng,mail.2210001@hcmut.edu.vn,3,MT,2.1
